Order.Date,Region,Category,Sub.Category,Sales,Profit,Customer.Name,Segment
2014-04-26,West,Office Supplies,Paper,19,8.763,Lauren Leatherbury,Consumer
2014-05-03,West,Office Supplies,Paper,16,7.065,Dorothy Dickinson,Consumer
2014-05-03,West,Office Supplies,Paper,34,15.824,Dorothy Dickinson,Consumer
2014-06-12,West,Office Supplies,Paper,123,60.2553,Dianna Vittorini,Consumer
2014-06-19,West,Office Supplies,Paper,39,19.0512,Craig Carreira,Consumer
2014-07-01,West,Office Supplies,Paper,205,100.4255,Thomas Thornton,Consumer
2014-07-24,West,Office Supplies,Paper,58,27.9936,Tracy Blumstein,Consumer
2014-08-21,West,Office Supplies,Paper,26,12.4416,Kean Thornton,Consumer
2014-09-10,West,Office Supplies,Paper,48,22.8096,Liz Carlisle,Consumer
2014-09-13,West,Office Supplies,Paper,166,79.8912,John Murray,Consumer
2014-09-24,West,Office Supplies,Paper,211,97.0784,Duane Benoit,Consumer
2014-10-10,West,Office Supplies,Paper,35,16.544,Xylona Preis,Consumer
2014-11-12,West,Office Supplies,Paper,19,9.3312,Guy Armstrong,Consumer
2014-11-13,West,Office Supplies,Paper,12,5.6644,Emily Phan,Consumer
2014-12-02,West,Office Supplies,Paper,45,21.7728,Clay Cheatham,Consumer
2014-12-19,West,Office Supplies,Paper,13,6.2208,Emily Phan,Consumer
2014-12-19,West,Office Supplies,Paper,32,15.552,Emily Phan,Consumer
2011-02-21,West,Office Supplies,Paper,13,6.2208,Steven Roelle,Home Office
2011-04-06,West,Office Supplies,Paper,55,26.6304,Andy Yotov,Corporate
2011-04-06,West,Office Supplies,Paper,19,9.3312,Andy Yotov,Corporate
2011-05-13,West,Office Supplies,Paper,8,3.84,Aaron Hawkins,Corporate
2011-07-25,West,Office Supplies,Paper,6,3.1752,Vicky Freymann,Home Office
2011-08-25,West,Office Supplies,Paper,26,12.4416,Janet Molinari,Corporate
2011-10-31,West,Office Supplies,Paper,65,30.4278,Greg Guthrie,Corporate
2011-11-01,West,Office Supplies,Paper,21,9.63,Paul Lucas,Home Office
2011-11-11,West,Office Supplies,Paper,124,55.764,Matt Abelman,Home Office
2012-03-19,West,Office Supplies,Paper,12,5.8604,Mike Caudle,Corporate
2012-03-23,West,Office Supplies,Paper,193,92.5056,Alice McCarthy,Corporate
2012-03-23,West,Office Supplies,Paper,33,16.68,Bart Pistole,Corporate
2012-04-18,West,Office Supplies,Paper,62,27.882,Deanra Eno,Home Office
2012-05-18,West,Office Supplies,Paper,11,5.3214,Anthony Jacobs,Corporate
2012-06-01,West,Office Supplies,Paper,12,5.7624,Catherine Glotzbach,Home Office
2012-09-17,West,Office Supplies,Paper,32,15.552,Meg O'Connel,Home Office
2012-09-19,West,Office Supplies,Paper,23,11.2504,Rick Wilson,Corporate
2012-11-12,West,Office Supplies,Paper,16,7.065,Yoseph Carroll,Corporate
2012-11-27,West,Office Supplies,Paper,114,53.4954,Steve Nguyen,Home Office
2012-12-14,West,Office Supplies,Paper,6,3.1104,Darren Budd,Corporate
2012-12-25,West,Office Supplies,Paper,10,4.8804,Sean Miller,Home Office
2013-01-31,West,Office Supplies,Paper,57,27.783,Sample Company A,Home Office
2013-02-01,West,Office Supplies,Paper,106,48.5392,Suzanne McNair,Corporate
2013-02-13,West,Office Supplies,Paper,147,73.41,Ross DeVincentis,Home Office
2013-03-11,West,Office Supplies,Paper,15,7.152,Karen Ferguson,Home Office
2013-05-10,West,Office Supplies,Paper,32,14.418,Ricardo Sperren,Corporate
2013-05-31,West,Office Supplies,Paper,39,18.6624,Nancy Lomonaco,Home Office
2013-06-07,West,Office Supplies,Paper,100,46.953,Ross Baird,Home Office
2013-06-27,West,Office Supplies,Paper,12,5.616,Adam Hart,Corporate
2013-08-22,West,Office Supplies,Paper,48,21.384,Scot Coram,Corporate
2013-08-22,West,Office Supplies,Paper,13,6.2208,Scot Coram,Corporate
2013-09-18,West,Office Supplies,Paper,6,3.1104,Jim Sink,Corporate
2013-09-25,West,Office Supplies,Paper,42,20.85,Laura Armstrong,Corporate
2013-11-05,West,Office Supplies,Paper,39,18.6624,Carl Weiss,Home Office
2013-11-22,West,Office Supplies,Paper,32,15.552,Tiffany House,Corporate
2013-12-07,West,Office Supplies,Paper,13,6.4128,Anne Pryor,Home Office
2013-12-19,West,Office Supplies,Paper,39,18.6624,Henry Goldwyn,Corporate
2013-12-26,West,Office Supplies,Paper,45,21.7728,Grace Kelly,Corporate
2014-02-27,West,Office Supplies,Paper,224,109.7208,Bradley Talbott,Home Office
2014-02-27,West,Office Supplies,Paper,23,11.3288,Bradley Talbott,Home Office
2014-04-16,West,Office Supplies,Paper,79,36.4044,Noel Staavos,Corporate
2014-05-31,West,Office Supplies,Paper,38,18.0096,Suzanne McNair,Corporate
2014-06-04,West,Office Supplies,Paper,12,5.382,Saphhira Shifley,Corporate
2014-10-16,West,Office Supplies,Paper,205,100.4255,Roland Schwarz,Corporate
2014-12-03,West,Office Supplies,Paper,11,5.3214,Alice McCarthy,Corporate
2014-12-05,West,Office Supplies,Paper,12,5.7624,Chris Selesnick,Corporate
2014-12-17,West,Office Supplies,Paper,13,6.4128,Rick Bensley,Home Office
2011-04-06,West,Office Supplies,Art,71,18.447,Frank Hawley,Corporate
2011-04-18,West,Office Supplies,Art,11,3.5475,John Lee,Consumer
2011-04-18,West,Office Supplies,Art,13,3.8048,John Lee,Consumer
2011-04-26,West,Office Supplies,Art,21,6.206,Marc Harrigan,Home Office
2011-05-06,West,Office Supplies,Art,108,30.2232,Steve Nguyen,Home Office
2011-06-09,West,Office Supplies,Art,7,1.9656,Brosina Hoffman,Consumer
2011-06-13,West,Office Supplies,Art,15,4.7916,Filia McAdams,Corporate
2011-06-30,West,Office Supplies,Art,32,10.368,Anthony Rawles,Corporate
2011-07-22,West,Office Supplies,Art,20,6.4944,Alejandro Ballentine,Home Office
2011-10-31,West,Office Supplies,Art,12,3.717,Greg Guthrie,Corporate
2011-11-03,West,Office Supplies,Art,7,3.36,Tracy Collins,Home Office
2011-11-11,West,Office Supplies,Art,30,7.9248,Arthur Prichep,Consumer
2011-11-25,West,Office Supplies,Art,7,2.604,Richard Bierner,Consumer
2011-12-05,West,Office Supplies,Art,26,11.907,Rob Lucas,Consumer
2011-12-07,West,Office Supplies,Art,9,2.4192,Frank Preis,Consumer
2011-12-20,West,Office Supplies,Art,47,12.298,Michael Chen,Consumer
2011-12-20,West,Office Supplies,Art,4,1.1564,Michael Chen,Consumer
2012-04-22,West,Office Supplies,Art,64,16.6764,Annie Zypern,Consumer
2012-06-25,West,Office Supplies,Art,21,5.24,Alan Barnes,Consumer
2012-08-01,West,Office Supplies,Art,7,3.36,Pauline Chand,Home Office
2012-09-18,West,Office Supplies,Art,12,5.4896,George Bell,Corporate
2012-11-20,West,Office Supplies,Art,19,5.0596,Skye Norling,Home Office
2012-11-24,West,Office Supplies,Art,15,6.615,Darren Powers,Consumer
2012-12-10,West,Office Supplies,Art,56,15.764,Frank Carlisle,Home Office
2012-12-17,West,Office Supplies,Art,205,53.261,Paul Gonzalez,Consumer
2012-12-17,West,Office Supplies,Art,16,7.052,Paul Gonzalez,Consumer
2013-01-28,West,Office Supplies,Art,40,10.3168,Henry Goldwyn,Corporate
2013-04-20,West,Office Supplies,Art,5,1.5288,Jas O'Carroll,Consumer
2013-04-20,West,Office Supplies,Art,73,21.228,Jas O'Carroll,Consumer
2013-08-23,West,Office Supplies,Art,6,1.6704,Pauline Webber,Corporate
2013-08-27,West,Office Supplies,Art,8,3.7996,Tom Stivers,Corporate
2013-09-03,West,Office Supplies,Art,19,5.2332,Lena Radford,Consumer
2013-09-18,West,Office Supplies,Art,20,6.633,Jim Sink,Corporate
2013-10-22,West,Office Supplies,Art,12,5.6994,Carlos Soltero,Consumer
2013-11-11,West,Office Supplies,Art,15,3.969,Arianne Irving,Consumer
2013-11-15,West,Office Supplies,Art,10,2.8536,Tim Brockman,Consumer
2013-11-27,West,Office Supplies,Art,37,10.4076,Maribeth Schnelling,Consumer
2013-12-02,West,Office Supplies,Art,23,6.912,Fred Hopkins,Corporate
2013-12-07,West,Office Supplies,Art,19,5.2332,Anne Pryor,Home Office
2013-12-27,West,Office Supplies,Art,54,15.1116,Mike Caudle,Corporate
2014-01-16,West,Office Supplies,Art,21,6.206,Tonja Turnell,Home Office
2014-02-20,West,Office Supplies,Art,13,3.4668,Emily Ducich,Home Office
2014-03-05,West,Office Supplies,Art,9,2.7028,Sung Pak,Corporate
2014-03-19,West,Office Supplies,Art,14,3.753,Barry Pond,Corporate
2014-03-31,West,Office Supplies,Art,6,2.0672,Tom Boeckenhauer,Consumer
2014-04-28,West,Office Supplies,Art,47,12.298,Arthur Prichep,Consumer
2014-04-28,West,Office Supplies,Art,124,33.4584,Arthur Prichep,Consumer
2014-04-28,West,Office Supplies,Art,12,5.6994,Arthur Prichep,Consumer
2014-05-01,West,Office Supplies,Art,10,4.0098,Erin Ashbrook,Corporate
2014-05-03,West,Office Supplies,Art,60,15.4752,Dorothy Dickinson,Consumer
2014-05-23,West,Office Supplies,Art,50,18.8328,Rob Lucas,Consumer
2014-06-11,West,Office Supplies,Art,16,4.756,Ben Wallace,Consumer
2014-06-16,West,Office Supplies,Art,4,1.7466,Stuart Calhoun,Consumer
2014-06-30,West,Office Supplies,Art,12,3.0368,William Brown,Consumer
2014-09-10,West,Office Supplies,Art,7,1.9024,Liz Carlisle,Consumer
2014-09-20,West,Office Supplies,Art,23,6.0632,Dave Poirier,Corporate
2014-09-20,West,Office Supplies,Art,17,4.8546,Dave Poirier,Corporate
2014-09-30,West,Office Supplies,Art,99,25.792,Sonia Cooley,Consumer
2014-10-13,West,Office Supplies,Art,6,1.5876,Robert Waldorf,Consumer
2014-11-07,West,Office Supplies,Art,6,1.7608,Zuschuss Carroll,Consumer
2014-11-15,West,Office Supplies,Art,34,9.9296,Joe Elijah,Consumer
2014-12-03,West,Office Supplies,Art,10,5.04,Alice McCarthy,Corporate
2014-12-10,West,Office Supplies,Art,11,2.79,Alyssa Tate,Home Office
2014-12-19,West,Office Supplies,Art,7,1.7901,Emily Phan,Consumer
2014-12-22,West,Office Supplies,Art,6,1.7052,Bradley Nguyen,Consumer
2014-12-22,West,Office Supplies,Art,7,1.7901,Bradley Nguyen,Consumer
2011-03-23,West,Office Supplies,Storage,330,85.904,Patrick O'Donnell,Consumer
2011-04-15,West,Office Supplies,Appliances,107,31.0184,Paul Stevenson,Home Office
2011-07-25,West,Office Supplies,Supplies,16,4.5008,Vicky Freymann,Home Office
2011-07-27,West,Office Supplies,Storage,276,0.0,Barry Blumstein,Corporate
2011-10-28,West,Office Supplies,Storage,141,38.178,Todd Sumrall,Corporate
2011-10-28,West,Office Supplies,Supplies,481,14.4222,Todd Sumrall,Corporate
2011-10-28,West,Office Supplies,Supplies,6,0.0628,Todd Sumrall,Corporate
2011-11-11,West,Office Supplies,Appliances,8,2.0228,Matt Abelman,Home Office
2011-11-15,West,Office Supplies,Supplies,20,5.3196,Shahid Shariari,Consumer
2011-11-16,West,Office Supplies,Storage,345,10.3473,Justin Deggeller,Corporate
2011-11-23,West,Office Supplies,Envelopes,22,10.4832,Sanjit Chand,Consumer
2011-12-05,West,Office Supplies,Appliances,250,72.5754,Joni Blumstein,Consumer
2011-12-06,West,Office Supplies,Storage,1261,327.9458,Roland Schwarz,Corporate
2011-12-19,West,Office Supplies,Fasteners,23,8.7945,Bart Pistole,Corporate
2011-12-19,West,Office Supplies,Labels,15,6.8714,Bart Pistole,Corporate
2011-12-27,West,Office Supplies,Labels,12,5.4332,Alyssa Tate,Home Office
2012-02-15,West,Office Supplies,Appliances,541,157.0176,Justin MacKendrick,Consumer
2012-04-18,West,Office Supplies,Storage,947,9.4717,Deanra Eno,Home Office
2012-09-21,West,Office Supplies,Fasteners,8,2.528,Cynthia Delaney,Home Office
2012-09-22,West,Office Supplies,Appliances,61,16.5888,Muhammed MacIntyre,Corporate
2012-10-02,West,Office Supplies,Storage,270,75.6952,Christopher Schild,Home Office
2012-10-17,West,Office Supplies,Storage,78,3.894,Charlotte Melton,Consumer
2012-11-22,West,Office Supplies,Storage,34,10.089,Nathan Gelder,Consumer
2012-12-04,West,Office Supplies,Envelopes,271,122.148,Harry Marie,Corporate
2012-12-12,West,Office Supplies,Supplies,26,0.5152,Karen Daniels,Consumer
2012-12-13,West,Office Supplies,Labels,10,4.5816,Matt Collins,Consumer
2013-01-03,West,Office Supplies,Storage,114,28.615,Lena Radford,Consumer
2013-02-21,West,Office Supplies,Storage,449,8.983,Matthew Clasen,Corporate
2013-03-29,West,Office Supplies,Storage,88,0.8792,Chris Cortes,Consumer
2013-05-17,West,Office Supplies,Labels,28,13.3056,Sanjit Chand,Consumer
2013-06-13,West,Office Supplies,Labels,15,6.8714,Darrin Van Huff,Corporate
2013-06-18,West,Office Supplies,Labels,23,10.8,Mike Vittorini,Consumer
2013-06-27,West,Office Supplies,Fasteners,18,8.95,Adam Hart,Corporate
2013-06-27,West,Office Supplies,Supplies,232,11.586,Adam Hart,Corporate
2013-07-04,West,Office Supplies,Fasteners,4,0.0792,Guy Thornton,Consumer
2013-07-26,West,Office Supplies,Fasteners,21,10.74,Larry Blacks,Consumer
2013-09-25,West,Office Supplies,Storage,42,2.9372,Laura Armstrong,Corporate
2013-11-04,West,Office Supplies,Appliances,1101,429.5772,Phillip Flathmann,Consumer
2013-11-04,West,Office Supplies,Labels,88,41.2237,Phillip Flathmann,Consumer
2013-11-08,West,Office Supplies,Labels,15,6.8714,Eudokia Martin,Corporate
2013-11-08,West,Office Supplies,Supplies,11,3.2944,Eudokia Martin,Corporate
2013-11-11,West,Office Supplies,Appliances,130,38.976,Arianne Irving,Consumer
2013-11-11,West,Office Supplies,Storage,721,187.3976,Arianne Irving,Consumer
2013-12-31,West,Office Supplies,Storage,481,125.1432,Julie Prescott,Home Office
2014-02-19,West,Office Supplies,Labels,10,4.8118,Cynthia Voltz,Corporate
2014-02-27,West,Office Supplies,Appliances,82,22.1184,Bradley Talbott,Home Office
2014-03-19,West,Office Supplies,Appliances,91,26.3494,Jason Klamczynski,Corporate
2014-03-22,West,Office Supplies,Storage,726,210.4936,Steven Cartwright,Consumer
2014-05-04,West,Office Supplies,Storage,763,45.8064,Darren Budd,Corporate
2014-05-04,West,Office Supplies,Storage,70,19.4656,Darren Budd,Corporate
2014-06-11,West,Office Supplies,Labels,30,14.8,Michelle Tran,Home Office
2014-06-12,West,Office Supplies,Appliances,61,16.5888,Zuschuss Donatelli,Consumer
2014-06-30,West,Office Supplies,Storage,131,39.213,William Brown,Consumer
2014-08-04,West,Office Supplies,Storage,100,23.9688,George Ashbrook,Consumer
2014-09-03,West,Office Supplies,Appliances,43,11.206,Marc Harrigan,Home Office
2014-09-15,West,Office Supplies,Labels,57,26.082,Joy Bell-,Consumer
2014-09-22,West,Office Supplies,Storage,16,3.8775,Brendan Murry,Corporate
2014-12-03,West,Office Supplies,Appliances,79,22.2516,Alice McCarthy,Corporate
2014-12-10,West,Office Supplies,Appliances,189,68.04,Alyssa Tate,Home Office
2014-12-17,West,Office Supplies,Storage,159,7.945,Rick Bensley,Home Office
2011-04-18,West,Office Supplies,Fasteners,12,3.6022,John Lee,Consumer
2011-04-26,West,Office Supplies,Labels,13,5.796,Marc Harrigan,Home Office
2011-07-09,West,Office Supplies,Labels,3,1.4112,Gary Hansen,Home Office
2011-07-09,West,Office Supplies,Storage,24,4.0664,Gary Hansen,Home Office
2011-07-12,West,Office Supplies,Storage,250,44.955,Ben Ferrer,Home Office
2011-08-25,West,Office Supplies,Storage,49,13.1868,Janet Molinari,Corporate
2011-09-29,West,Office Supplies,Fasteners,9,2.8776,Arthur Prichep,Consumer
2011-09-29,West,Office Supplies,Storage,62,16.7886,Arthur Prichep,Consumer
2011-10-31,West,Office Supplies,Fasteners,11,5.2164,Greg Guthrie,Corporate
2011-10-31,West,Office Supplies,Storage,80,20.878,Greg Guthrie,Corporate
2011-10-31,West,Office Supplies,Storage,406,12.1692,Greg Guthrie,Corporate
2012-02-16,West,Office Supplies,Labels,88,41.2237,Rob Dowd,Consumer
2012-04-13,West,Office Supplies,Appliances,76,29.5776,Bill Tyler,Corporate
2012-04-25,West,Office Supplies,Envelopes,21,9.8164,Linda Southworth,Corporate
2012-05-14,West,Office Supplies,Storage,1118,55.896,Hunter Glantz,Consumer
2012-05-22,West,Office Supplies,Labels,8,3.7996,Sarah Brown,Consumer
2012-05-22,West,Office Supplies,Storage,105,29.3412,Sarah Brown,Consumer
2012-09-10,West,Office Supplies,Supplies,52,1.5456,Charles Crestani,Consumer
2012-09-25,West,Office Supplies,Envelopes,17,8.2156,Anne McFarland,Consumer
2012-12-08,West,Office Supplies,Storage,222,4.4392,Yana Sorensen,Corporate
2012-12-27,West,Office Supplies,Appliances,107,31.0184,Arthur Gainer,Consumer
2012-12-27,West,Office Supplies,Labels,22,10.3488,Arthur Gainer,Consumer
2013-04-09,West,Office Supplies,Storage,65,2.5984,Logan Currie,Consumer
2013-05-20,West,Office Supplies,Appliances,88,23.7168,Anna Häberlin,Corporate
2013-05-29,West,Office Supplies,Appliances,262,78.672,Clay Ludtke,Consumer
2013-08-16,West,Office Supplies,Storage,18,3.0498,Bill Donatelli,Consumer
2013-10-29,West,Office Supplies,Storage,93,26.0568,Jonathan Howell,Consumer
2013-11-19,West,Office Supplies,Appliances,68,18.3168,Tracy Collins,Home Office
2013-12-19,West,Office Supplies,Supplies,579,28.965,Henry Goldwyn,Corporate
2014-02-10,West,Office Supplies,Storage,355,17.745,Sarah Bern,Consumer
2014-03-17,West,Office Supplies,Appliances,141,54.8613,Ken Dana,Corporate
2014-03-17,West,Office Supplies,Storage,310,80.6312,Ken Dana,Corporate
2014-04-01,West,Office Supplies,Supplies,30,8.019,Henry Goldwyn,Corporate
2014-07-12,West,Office Supplies,Labels,9,4.0749,Katherine Nockton,Corporate
2014-09-05,West,Office Supplies,Storage,218,65.355,Ralph Arnett,Consumer
2014-09-10,West,Office Supplies,Storage,100,23.9688,Keith Dawkins,Corporate
2014-10-03,West,Office Supplies,Storage,1575,204.7682,Paul Van Hugh,Home Office
2011-04-03,West,Office Supplies,Envelopes,11,5.58,Katrina Edelman,Corporate
2011-05-06,West,Office Supplies,Labels,6,2.7166,Steve Nguyen,Home Office
2011-06-09,West,Office Supplies,Appliances,115,34.47,Brosina Hoffman,Consumer
2011-09-20,West,Office Supplies,Appliances,44,11.8584,Michelle Arnett,Home Office
2011-11-01,West,Office Supplies,Labels,44,22.2,Paul Lucas,Home Office
2011-12-05,West,Office Supplies,Fasteners,15,7.2,Rob Lucas,Consumer
2011-12-24,West,Office Supplies,Storage,143,41.4294,Julie Creighton,Corporate
2011-12-24,West,Office Supplies,Appliances,362,101.3488,Ben Ferrer,Home Office
2011-12-24,West,Office Supplies,Storage,20,0.2034,Ben Ferrer,Home Office
2012-02-18,West,Office Supplies,Labels,9,4.4352,Ann Blume,Corporate
2012-06-19,West,Office Supplies,Envelopes,187,87.7443,Logan Haushalter,Consumer
2012-06-25,West,Office Supplies,Storage,304,9.1269,Alan Barnes,Consumer
2012-08-15,West,Office Supplies,Storage,323,61.389,Tim Taslimi,Corporate
2012-08-25,West,Office Supplies,Appliances,106,29.6688,Nancy Lomonaco,Home Office
2012-08-28,West,Office Supplies,Storage,729,29.1528,Cassandra Brandow,Consumer
2012-08-28,West,Office Supplies,Storage,892,267.705,Cassandra Brandow,Consumer
2012-09-18,West,Office Supplies,Supplies,17,5.07,George Bell,Corporate
2012-09-24,West,Office Supplies,Appliances,1158,335.8548,Shaun Chance,Corporate
2012-09-28,West,Office Supplies,Appliances,186,55.845,Roy Phan,Corporate
2012-09-28,West,Office Supplies,Supplies,47,13.6851,Roy Phan,Corporate
2012-10-19,West,Office Supplies,Appliances,1641,459.396,Robert Marley,Home Office
2012-11-24,West,Office Supplies,Storage,455,54.5832,Toby Swindell,Consumer
2012-12-05,West,Office Supplies,Labels,13,6.048,George Bell,Corporate
2012-12-24,West,Office Supplies,Fasteners,46,21.5824,Kean Takahito,Consumer
2012-12-30,West,Office Supplies,Envelopes,271,122.148,Clay Ludtke,Consumer
2012-12-30,West,Office Supplies,Storage,75,14.2386,Clay Ludtke,Consumer
2013-02-04,West,Office Supplies,Storage,93,3.7208,Jennifer Braxton,Corporate
2013-02-22,West,Office Supplies,Fasteners,11,5.0055,Tracy Zic,Consumer
2013-05-06,West,Office Supplies,Storage,6,1.0166,Barry Franz,Home Office
2013-06-07,West,Office Supplies,Labels,22,10.584,Ross Baird,Home Office
2013-06-11,West,Office Supplies,Labels,21,9.936,Olvera Toch,Consumer
2013-06-26,West,Office Supplies,Appliances,61,17.0268,Alan Shonely,Consumer
2013-07-18,West,Office Supplies,Storage,78,3.894,Ruben Ausman,Corporate
2013-07-29,West,Office Supplies,Labels,19,8.694,Khloe Miller,Consumer
2013-08-09,West,Office Supplies,Appliances,488,136.6176,Cathy Armstrong,Home Office
2013-09-03,West,Office Supplies,Storage,24,0.9468,Lena Radford,Consumer
2013-09-25,West,Office Supplies,Envelopes,305,143.303,Edward Hooks,Corporate
2013-10-22,West,Office Supplies,Storage,341,3.4092,Carlos Soltero,Consumer
2013-11-01,West,Office Supplies,Storage,1085,282.2092,Jonathan Doherty,Corporate
2013-11-04,West,Office Supplies,Appliances,43,14.2956,Xylona Preis,Consumer
2013-11-04,West,Office Supplies,Fasteners,15,5.0358,Xylona Preis,Consumer
2013-11-21,West,Office Supplies,Appliances,39,11.31,Matt Connell,Corporate
2013-11-27,West,Office Supplies,Appliances,65,19.488,Maribeth Schnelling,Consumer
2013-12-04,West,Office Supplies,Storage,773,108.1752,Gary McGarr,Consumer
2013-12-07,West,Office Supplies,Fasteners,14,0.0,Anne Pryor,Home Office
2013-12-27,West,Office Supplies,Appliances,8,2.054,Mike Caudle,Corporate
2013-12-27,West,Office Supplies,Supplies,18,4.9728,Mike Caudle,Corporate
2014-02-03,West,Office Supplies,Appliances,47,16.38,John Lee,Consumer
2014-02-03,West,Office Supplies,Storage,139,38.9312,John Lee,Consumer
2014-03-05,West,Office Supplies,Envelopes,15,7.015,Sung Pak,Corporate
2014-03-19,West,Office Supplies,Envelopes,19,9.312,Barry Pond,Corporate
2014-03-20,West,Office Supplies,Appliances,381,106.7808,George Zrebassa,Corporate
2014-04-18,West,Office Supplies,Fasteners,11,3.597,Pamela Stobb,Consumer
2014-04-18,West,Office Supplies,Labels,23,11.2896,Pamela Stobb,Consumer
2014-04-18,West,Office Supplies,Labels,7,3.4686,Pamela Stobb,Consumer
2014-07-04,West,Office Supplies,Storage,88,0.8792,Rob Dowd,Consumer
2014-07-08,West,Office Supplies,Fasteners,6,0.1188,Annie Thurman,Consumer
2014-07-12,West,Office Supplies,Appliances,168,43.706,Karen Bern,Corporate
2014-09-05,West,Office Supplies,Storage,54,0.5432,Tiffany House,Corporate
2014-11-03,West,Office Supplies,Appliances,168,43.706,Cindy Stewart,Consumer
2014-11-07,West,Office Supplies,Envelopes,15,7.4872,Zuschuss Carroll,Consumer
2014-11-12,West,Office Supplies,Appliances,11,2.8314,Guy Armstrong,Consumer
2014-11-20,West,Office Supplies,Storage,305,76.2525,Mick Crebagga,Consumer
2014-12-26,West,Office Supplies,Storage,271,2.7062,Fred Hopkins,Corporate
